seed,trajectory,eligible_intersection,first_non_p_goal,first_non_p_confirmation_step,final_control_taxonomy,final_boolean_signature,final_boolean_signature_int,final_target_accuracy,auc128_P,handoff_P_observed,handoff_P_first_qualifying,handoff_P_confirmation,restricted_time_P,zero_behavior_P,zero_causal_P,zero_probe_final_hidden_P,zero_probe_selective_final_hidden_P,zero_control_P,final_behavior_P,final_causal_P,final_probe_final_hidden_P,final_probe_selective_final_hidden_P,final_control_P,auc128_Q,handoff_Q_observed,handoff_Q_first_qualifying,handoff_Q_confirmation,restricted_time_Q,zero_behavior_Q,zero_causal_Q,zero_probe_final_hidden_Q,zero_probe_selective_final_hidden_Q,zero_control_Q,final_behavior_Q,final_causal_Q,final_probe_final_hidden_Q,final_probe_selective_final_hidden_Q,final_control_Q,auc128_Y,handoff_Y_observed,handoff_Y_first_qualifying,handoff_Y_confirmation,restricted_time_Y,zero_behavior_Y,zero_causal_Y,zero_probe_final_hidden_Y,zero_probe_selective_final_hidden_Y,zero_control_Y,final_behavior_Y,final_causal_Y,final_probe_final_hidden_Y,final_probe_selective_final_hidden_Y,final_control_Y
157,independent_carry,True,Q,24,Y,01010101,85,1.0,0.5421292781829834,True,0,1,1.0,0.993408203125,0.99365234375,1.0,0.372802734375,0.9935302734375,0.5,0.5,0.983154296875,0.26220703125,0.5,0.9415929317474365,True,17,24,24.0,0.506591796875,0.5059814453125,0.97265625,0.345458984375,0.50628662109375,0.5,0.5,0.99462890625,0.273681640625,0.5,0.5172349611918132,True,222,304,304.0,0.501708984375,0.5003662109375,0.51953125,-0.107666015625,0.50103759765625,1.0,1.0,1.0,0.279052734375,1.0
157,independent_reset,True,Q,24,Y,01010101,85,1.0,0.5471506118774414,True,0,1,1.0,0.993408203125,0.99365234375,1.0,0.372802734375,0.9935302734375,0.5,0.5,0.997802734375,0.294189453125,0.5,0.9430794715881348,True,17,24,24.0,0.506591796875,0.5059814453125,0.97265625,0.345458984375,0.50628662109375,0.5,0.5,0.988525390625,0.284912109375,0.5,0.5101812680562336,True,222,304,304.0,0.501708984375,0.5003662109375,0.51953125,-0.107666015625,0.50103759765625,1.0,1.0,1.0,0.29638671875,1.0
157,nested_carry,True,Q,45,Y,01010101,85,1.0,0.5822539329528809,True,0,1,1.0,0.99853515625,0.9984130859375,1.0,0.3916015625,0.99847412109375,0.5,0.5,1.0,0.32421875,0.5,0.8755583763122559,True,33,45,45.0,0.50146484375,0.5015869140625,0.745849609375,0.137451171875,0.50152587890625,0.5,0.5,0.98779296875,0.31201171875,0.5,0.5389851729075115,True,161,222,222.0,0.50048828125,0.5000406901041666,0.518310546875,-0.090087890625,0.5002644856770833,1.0,1.0,1.0,0.32421875,1.0
157,nested_reset,True,Q,45,Y,01010101,85,1.0,0.5872840881347656,True,0,1,1.0,0.99853515625,0.9984130859375,1.0,0.3916015625,0.99847412109375,0.5,0.5,0.9990234375,0.28466796875,0.5,0.8917183876037598,True,33,45,45.0,0.50146484375,0.5015869140625,0.745849609375,0.137451171875,0.50152587890625,0.5,0.5,0.99609375,0.28173828125,0.5,0.5219991207122803,True,222,304,304.0,0.50048828125,0.5000406901041666,0.518310546875,-0.090087890625,0.5002644856770833,1.0,1.0,1.0,0.28564453125,1.0
157,scratch,True,Q,45,Y,01010101,85,1.0,0.5126557350158691,False,,,1024.0,0.5185546875,0.521240234375,0.990966796875,0.392822265625,0.5198974609375,0.5,0.5,0.951171875,0.18603515625,0.5,0.9263966083526611,True,33,45,45.0,0.4921875,0.4937744140625,0.673828125,0.07568359375,0.49298095703125,0.5,0.5,0.992431640625,0.227294921875,0.5,0.5071101983388266,True,161,222,222.0,0.4951171875,0.4957275390625,0.50830078125,-0.08984375,0.49542236328125,1.0,1.0,1.0,0.23486328125,1.0
157,sham,True,Q,45,Y,01010101,85,1.0,0.5053541660308838,False,,,1024.0,0.5,0.5,0.96728515625,0.379150390625,0.5,0.5,0.5,0.893310546875,0.148681640625,0.5,0.901275634765625,True,33,45,45.0,0.5,0.5,0.646484375,0.058349609375,0.5,0.5,0.5,0.991943359375,0.247314453125,0.5,0.5272680123647053,True,161,222,222.0,0.5,0.5,0.514404296875,-0.07373046875,0.5,1.0,1.0,1.0,0.25537109375,1.0
163,independent_carry,True,Q,24,Y,01010101,85,1.0,0.5537846088409424,True,0,1,1.0,0.99658203125,0.9967041015625,1.0,0.3798828125,0.99664306640625,0.5,0.5,0.99658203125,0.28125,0.5,0.9284268617630005,True,17,24,24.0,0.50341796875,0.50335693359375,0.955078125,0.3349609375,0.503387451171875,0.5,0.5,0.999755859375,0.284423828125,0.5,0.5199775695800781,True,161,222,222.0,0.50244140625,0.5018310546875,0.53125,-0.0888671875,0.50213623046875,1.0,1.0,1.0,0.28466796875,1.0
163,independent_reset,True,Q,33,Y,01010101,85,1.0,0.5629949569702148,True,0,1,1.0,0.99658203125,0.9967041015625,1.0,0.3798828125,0.99664306640625,0.5,0.5,0.998779296875,0.283203125,0.5,0.9289971590042114,True,24,33,33.0,0.50341796875,0.50335693359375,0.955078125,0.3349609375,0.503387451171875,0.5,0.5,0.9990234375,0.283447265625,0.5,0.5099403858184814,True,222,304,304.0,0.50244140625,0.5018310546875,0.53125,-0.0888671875,0.50213623046875,1.0,1.0,1.0,0.284423828125,1.0
163,nested_carry,True,Q,62,Y,01010101,85,1.0,0.5964455604553223,True,0,1,1.0,1.0,1.0,1.0,0.38720703125,1.0,0.5,0.5,0.998046875,0.294189453125,0.5,0.8374805450439453,True,45,62,62.0,0.5,0.5,0.755615234375,0.142822265625,0.5,0.5,0.5,0.997802734375,0.2939453125,0.5,0.5683096249898275,True,161,222,222.0,0.5,0.5,0.544189453125,-0.068603515625,0.5,1.0,1.0,1.0,0.296142578125,1.0
163,nested_reset,True,Q,62,Y,01010101,85,1.0,0.6043140888214111,True,0,1,1.0,1.0,1.0,1.0,0.38720703125,1.0,0.5,0.5,0.999755859375,0.2998046875,0.5,0.8710533380508423,True,45,62,62.0,0.5,0.5,0.755615234375,0.142822265625,0.5,0.5,0.5,0.99267578125,0.292724609375,0.5,0.5325179100036621,True,161,222,222.0,0.5,0.5,0.544189453125,-0.068603515625,0.5,1.0,1.0,1.0,0.300048828125,1.0
